url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
24,3,10,0,1,0,0,0,3,0,0,0,0,0.0,0.7917,3.8239,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,8,9,0,1,1,0,0,4,0,0,0,0,0.0,0.7586,3.9489,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,15,7,0,3,0,0,0,3,0,0,0,0,0.4483,0.3103,4.0473,2.7899,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
28,13,2,0,3,0,0,0,3,0,0,0,0,0.5357,0.1786,3.7674,2.4416,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
38,4,20,0,2,0,0,0,4,0,0,0,0,0.0,0.8158,4.0606,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
32,15,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8438,3.8667,3.1396,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
40,12,16,0,1,0,0,0,4,0,0,0,0,0.0,0.85,4.1153,3.4183,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
80,6,3,52,2,1,0,0,3,2,1,0,1,0.0625,0.8,5.1824,1.9183,1,1,0,0,0,0,0,0,0,1,1,1,0,-1
25,3,8,0,2,0,0,0,3,0,0,0,0,0.0,0.76,3.7835,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
26,4,11,0,1,0,0,0,4,0,0,0,0,0.0,0.7692,3.5654,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
95,6,77,0,4,2,2,0,8,0,0,0,0,0.0316,0.7895,4.5278,2.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,12,2,0,3,0,0,0,3,0,0,0,0,0.5185,0.1852,3.8282,2.7925,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
29,14,2,0,3,0,0,0,3,0,0,0,0,0.5517,0.1724,3.7159,2.6106,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
48,20,15,0,2,0,0,0,4,0,0,0,0,0.0208,0.8333,4.1217,3.2037,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
